,Unnamed: 0,Ticker,Entry Time,Entry Price,Exit Time,Exit Price,P/L,ROR,Cumulative ROR,Peak ROR,Drawdown
85,86,BANKNIFTY10SEP2022900CE,07-09-2020 09:29,382.9,07-09-2020 12:48,356.65,-26.25,-13711.15173674589,-240429.2068188524,120702.56071137282,-361131.7675302252
86,87,BANKNIFTY10SEP2022900PE,07-09-2020 09:29,360.5,07-09-2020 12:48,310.05,-50.44999999999999,-27988.904299583905,-268418.1111184363,120702.56071137282,-389120.67182980914
87,88,BANKNIFTY10SEP2022900CE,08-09-2020 09:29,305.8,08-09-2020 12:53,337.55,31.75,20765.206017004577,-247652.90510143174,120702.56071137282,-368355.4658128045
88,89,BANKNIFTY10SEP2022900PE,08-09-2020 09:29,300.2,08-09-2020 12:53,207.8,-92.39999999999998,-61558.96069287141,-309211.8657943031,120702.56071137282,-429914.42650567595
89,90,BANKNIFTY10SEP2022500CE,09-09-2020 09:29,213.45,09-09-2020 09:56,154.95,-58.5,-54813.77371749825,-364025.63951180136,120702.56071137282,-484728.2002231742
90,91,BANKNIFTY10SEP2022500PE,09-09-2020 09:29,201.9,09-09-2020 09:56,302.0,100.1,99157.99900941059,-264867.6405023908,120702.56071137282,-385570.2012137636
91,92,BANKNIFTY10SEP2022500CE,10-09-2020 09:29,95.6,10-09-2020 10:56,162.3,66.70000000000002,139539.74895397495,-125327.89154841585,120702.56071137282,-246030.45225978867
92,93,BANKNIFTY10SEP2022500PE,10-09-2020 09:29,90.1,10-09-2020 10:56,43.25,-46.849999999999994,-103995.56048834628,-229323.45203676214,120702.56071137282,-350026.01274813496
93,94,BANKNIFTY17SEP2022600CE,11-09-2020 09:29,333.95,11-09-2020 09:42,278.45,-55.5,-33238.508758796226,-262561.96079555835,120702.56071137282,-383264.52150693117
94,95,BANKNIFTY17SEP2022600PE,11-09-2020 09:29,337.95,11-09-2020 09:42,460.65,122.69999999999999,72614.29205503772,-189947.66874052063,120702.56071137282,-310650.2294518935
95,96,BANKNIFTY17SEP2022800CE,14-09-2020 09:29,261.6,14-09-2020 13:16,178.25,-83.35000000000002,-63723.24159021408,-253670.9103307347,120702.56071137282,-374373.47104210756
96,97,BANKNIFTY17SEP2022800PE,14-09-2020 09:29,326.1,14-09-2020 13:16,494.9,168.79999999999995,103526.52560564241,-150144.3847250923,120702.56071137282,-270846.9454364651
97,98,BANKNIFTY17SEP2022200CE,15-09-2020 09:29,298.6,15-09-2020 15:24,456.95,158.34999999999997,106061.62089752173,-44082.76382757057,120702.56071137282,-164785.3245389434
98,99,BANKNIFTY17SEP2022200PE,15-09-2020 09:29,316.85,15-09-2020 15:24,120.75,-196.10000000000002,-123780.96891273474,-167863.7327403053,120702.56071137282,-288566.2934516781
99,100,BANKNIFTY17SEP2022500CE,16-09-2020 09:29,196.15,16-09-2020 11:47,138.0,-58.150000000000006,-59291.358654091266,-227155.09139439656,120702.56071137282,-347857.6521057694
100,101,BANKNIFTY17SEP2022500PE,16-09-2020 09:29,233.5,16-09-2020 11:47,334.9,101.39999999999998,86852.24839400426,-140302.8430003923,120702.56071137282,-261005.40371176513
